SHITOMASI_freak 
Tempo_Total:     2.07636938462 s 
Linha    Resultado (Micro-Segundos) 
9       17954.8692308
10      119172.915385
11      233.853846154
12      4079.71538462
14      241.092307692
15      261.230769231
16      852197.123077
17      80251.3615385
19      944309.123077
20      271.9
21      3919.49230769
22      46126.8692308
24      7350.26923077
