SHITOMASI_brisk 
Tempo_Total:     7.62502238462 s 
Linha    Resultado (Micro-Segundos) 
9       17737.1076923
10      118873.9
11      246.453846154
12      4089.14615385
14      6367677.33077
15      277.492307692
16      23848.0384615
17      80748.0692308
19      943480.030769
20      255.784615385
21      3848.03846154
22      55648.2692308
24      8293.13846154
