SHITOMASI_orb 
Tempo_Total:     1.28629353846 s 
Linha    Resultado (Micro-Segundos) 
9       17728.8846154
10      119134.330769
11      226.046153846
12      4070.23076923
14      267.530769231
15      256.023076923
16      17286.2615385
17      79403.0923077
19      912968.723077
20      251.546153846
21      3857.36153846
22      126591.461538
24      4252.83846154
