SHITOMASI_brief 
Tempo_Total:     1.23872584615 s 
Linha    Resultado (Micro-Segundos) 
9       17836.4692308
10      119333.046154
11      236.392307692
12      4097.59230769
14      302.184615385
15      264.315384615
16      14430.9923077
17      79984.7923077
19      943715.892308
20      241.930769231
21      3905.09230769
22      49699.1615385
24      4678.0
