Nome,Media_Matches,Desvio_Padrao_Matches,Media_Corretos,Desvio_Padrao_Corretos,Porcentagem_Acertos
fast_brief,258.0,50.18216814765978,183.5,50.18216814765978,71.12403100775194
fast_brisk,305.8,51.31871003834761,189.3,51.31871003834761,61.903204708960104
fast_freak,292.8333333333333,46.225101406054264,185.2,46.225101406054264,63.24416619237336
fast_orb,275.725,46.842715548951695,177.9,46.842715548951695,64.520808776861
fast_sift,293.24,62.97873926969323,196.28,62.97873926969323,66.93493384258628
harris_brief,248.45,88.22319548861411,166.36666666666667,88.22319548861411,66.9618300127457
harris_brisk,217.75714285714287,97.6646918841007,144.52857142857144,97.6646918841007,66.37144918979205
harris_freak,193.8875,100.9010777940454,128.35,100.9010777940454,66.19818193540068
harris_orb,175.01111111111112,101.58204675149157,115.76666666666667,101.58204675149157,66.1481810678687
harris_sift,161.68,100.99973217786273,105.71,100.99973217786273,65.38223651657594
orb_brief,164.01818181818183,98.27536326462184,111.35454545454546,98.27536326462184,67.89158629863651
orb_brisk,163.1,94.35745274692874,113.26666666666667,94.35745274692874,69.44614755773554
orb_freak,152.74615384615385,93.57291401194253,106.57692307692308,93.57291401194253,69.77388326534724
orb_orb,159.30714285714285,94.93511640341848,114.77142857142857,94.93511640341848,72.04411962516254
orb_sift,161.72666666666666,92.60118189790498,118.03333333333333,92.60118189790498,72.9832227214642
shiTomasi_brief,153.8,92.29599039909586,112.3875,92.29599039909586,73.07379713914173
shiTomasi_brisk,147.3294117647059,91.48440221016294,107.70588235294117,91.48440221016294,73.10548590593308
shiTomasi_freak,141.22222222222223,90.70712792033251,103.35,90.70712792033251,73.1825334382376
shiTomasi_orb,135.57368421052632,89.94688198568842,99.3,89.94688198568842,73.2443029620715
shiTomasi_sift,131.005,88.91985155183289,95.9,88.91985155183289,73.20331285065457
star_brief,128.16666666666666,87.33174285823918,93.8047619047619,87.33174285823918,73.18967118707042
star_brisk,125.64090909090909,85.97006686454428,91.58181818181818,85.97006686454428,72.89171882348685
star_freak,123.26521739130435,84.56638973145124,89.69130434782609,84.56638973145124,72.76286550738952
star_orb,121.20833333333333,83.26941204691484,87.90416666666667,83.26941204691484,72.52320385012032
star_sift,119.164,81.85977757116133,86.604,81.85977757116133,72.67631163774294
surf_brief,126.79615384615384,83.11852403923896,90.15,83.11852403923896,71.0983710983711
surf_brisk,131.0,82.50437316421993,92.33703703703704,82.50437316421993,70.48628781453209
surf_freak,131.05714285714285,81.0689281395399,92.48214285714286,81.0689281395399,70.56627425332462
surf_orb,137.7344827586207,81.16120392522619,95.10344827586206,81.16120392522619,69.04839396139498
surf_sift,145.15333333333334,83.12569137557094,99.31,83.12569137557094,68.41730583750517
